Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
,CxFH1pqJnEmyaE4wEwqdqMKpQMpkmdaMxhS7SzpHokA8,2182665.92163,2.037,76.25%,97.44%,N
HashKey Cloud,Cat8oWQiFfrR3c7BcceTYcpnYCzSWfCPjMXT7mfHXvEP,2120705.92694,1.940,79.09%,97.70%,N
AG 0% fee + ALL MEV profit share,F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK,2107195.21004,1.510,92.01%,98.59%,N
,FjkSLYmi6BJAJQn1iSLUGrPrBQjMaD4y1DVdnv3yaTsX,2083334.28044,1.837,83.54%,90.94%,N
,Ezp1xiZC2mcenHjFB4nAfb8HW9YuGEBFit49yGG7XdAu,2064958.81416,1.990,77.36%,98.36%,N
,HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc,2000000.48717,1.283,96.11%,99.98%,N
,ERut3CwqVeoa616QBaoHc5jL52RpkXjZZZ7MeaMaCtLi,1985437.56427,1.578,88.40%,95.59%,N
,8BMMDVM8Tb88a2Hx1VSZ1TKmH1rMHbVU7xVafMk9JrEW,1875000.95347,1.852,83.05%,92.34%,N
,HhYEE3dAShc3772wEiy73XDYnLjVxyBL8eAWKyRcF14y,1835664.80073,1.357,95.03%,99.58%,N
Hanabi Staking 🎆 | Staking Champions,mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,1674762.98215,1.615,88.84%,95.53%,N
Laine ❤️ stakewiz.com,GE6atKoWiQ2pt3zL7N13pjNHjdLVys8LinG8qeJLcAiL,1652499.43690,1.501,91.28%,98.44%,N
RockawayX Infra,RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y,1631345.16418,1.379,93.81%,99.71%,N
Staked,51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm,1591118.47194,1.647,88.67%,95.55%,N
,74pfDmYto6aAqCzFH1mNJ8NxF7A4LQ4cXkipGwgjY39u,1566399.78284,1.364,94.61%,99.71%,N
StakeWolf,DQ7D6ZRtKbBSxCcAunEkoTzQhCBKLPdzTjPRRnM6wo1f,1521261.31518,1.938,81.26%,92.54%,N
,2LrSZWeyvFovnzVFpFPQE7Lxt64xs3s3Re9HLxMJtGwf,1514670.27979,1.816,84.21%,92.41%,N
,7jPqpHuN5v59dtBom2tjmYEfi6WaM4sFtJeTD6fzhcdS,1494427.59810,2.135,73.23%,97.36%,N
Block Logic +MEV +Triton,9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs,1445768.25466,1.338,95.12%,99.65%,N
Solana Compass 🧭 Solana For The People,EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,1409505.99958,1.328,95.14%,99.93%,N
,FuvD3qqrVjuh355sBs1u8bUS3aU8NgknymLskPvtAc6N,1293070.46402,1.474,92.51%,98.78%,N
Lion3d | 0% Forever,DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,1234269.89442,1.336,96.00%,99.84%,N
,AzbQjKoLepbDS8C6hgkRY7UCRwbwZZ9HqdtnWyef9WjX,1207979.32490,1.785,84.84%,92.30%,N
Chorus One,Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE,1196360.24906,1.297,95.91%,99.89%,N
Overclock,AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,1133830.55011,1.381,91.04%,97.94%,N
