Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
Anti 🔥 0%+JitoMEV,Fy6zNoZ1eCPpQX3JXeQ9Yd1HW1BFL8rrFmDvYYDnuxjT,220171.18838,1.288,96.47%,99.90%,N
Trust Nodes,FiijvR2ibXEHaFqB127CxrL3vSj19K2Kx1jf2RbK4BWS,218207.20768,1.452,93.18%,99.31%,N
Cross Stitch Staking,4DcSke272vfn4QQK49RNzPPj9pYasbyjoiY1a5UxLDH1,217648.36338,1.434,92.90%,99.58%,N
kerak69 💥0% fee + Jito MEV💥,39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw,217053.71590,2.316,81.63%,89.74%,N
Consensus 🤝,HFLsfstZkJeWDgVEA5fmXeea876Ad9f1VxrbXk386bBY,215841.22739,1.467,92.11%,99.66%,N
LIKE Pool,HG574XwiowrjLx8h91KhHUhPeMfmUPBLfC9XrXynj9x,215167.52727,1.420,93.12%,99.79%,N
NuFi,3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7,213973.37334,1.482,91.86%,99.04%,N
😻 TarKat 😻 +MEV,3r84fqQnrSLrEDA8p5TStbHB8QFRHB9Frcdmq1AGVDYG,212964.77245,1.553,90.66%,99.04%,N
,AAhcGqPdM9WdjhVH6T4vAQLvoDFrYQqirkxCdvxoKhgp,210948.55584,1.639,89.91%,97.86%,N
hodl.global,5nkSzU4oVSDdxZvorYwxz6BQab2VfmHbdA9AnpYVkAL7,210034.96843,1.574,90.30%,97.54%,N
Bernardo,7Eg46UwGgsufXdd9C9kF27UAyD2t4VdmCdVTtPFoqxCy,209956.16436,1.451,92.68%,99.24%,N
,2EWi8L6xp62VgTqFo3LnhoSP5sL9CWqYxvK7UA63qK9x,209931.62344,2.260,76.31%,82.39%,N
✨ lux8.net ✨,48oxpSHQkM4sdXUY9NQ8KnEtebzZbyk8uUT7JRdVQNuf,209744.94821,1.642,88.44%,97.11%,N
Wen | 0% fee +MEV,WENuuMXGi8adKogNbQj33Vxgia9oA2erkWAPF4szWN1,209282.79856,1.880,86.94%,97.90%,N
Green Labs | Nordic Waves,Atw2Wond9H3DHfgg5NGqi4dxMwF3Nrgdhm39x2oK8MCW,206069.66304,2.070,78.12%,85.49%,N
StakeHero,DSRnpPkLWLA5V2TZo3AJwe2eGfkZ4ZaCwRf2v7e4aXg7,204927.94528,2.144,74.34%,84.18%,N
,3uvqr8aX2fS3W9XHdud5avRGbUtY9uswBGmr9S2N7uF2,204691.76493,1.663,89.82%,97.93%,N
VovaZero,BXNW9ysAB9ksEDidcNWraaFkMeA88q6xzFRSyNnGvQYC,204446.71936,1.575,93.21%,99.41%,N
Empyrial - 0% fee and high performance,5frYQSynysBe1akCVK9tNBJ5j8jgBgUsjAXAgqHxvykJ,204080.39011,1.521,91.56%,99.01%,N
SergPorto,9PzBVUpbEGcGxnjxq4WvJMnScwvQTY2wFrfMZv8FEPjC,204013.49620,1.852,84.29%,91.90%,N
Irinkor,6tajb2FFdjiRJLrdwfKQsijHGmeVFcTcXJn6NH3BEoLW,201136.39060,1.713,87.19%,95.02%,N
☀️ Turquoise ✅ 0% Fee + Jito MEV,2ZuVhyBsUbTh27LBCQH3BkenjPp86gUZiNBKmhPsTRpT,199816.49308,1.596,89.70%,98.76%,N
Dreik-Steak 0% fee + MEV,GQ8DSRSNCFGEdCEwc6em1ma18qSPc5cXCSDnSPSznWBP,199690.25529,2.219,72.42%,85.67%,N
Majestysol | 🔥 0% Fee + ⚡ MEV,5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU,198643.84722,1.601,89.41%,98.77%,N
Zeta Node,FnAPJkzf19s87sm24Qhv6bHZMZvZ43gjNUBRgjwXpD4v,198170.64145,2.074,74.29%,97.73%,N
Spear | best rewards!,7XTz9RDt9gbckonUUYvzQ8q3Pfdo36oiQsreXsHhNFzj,197407.86113,1.622,88.96%,98.39%,N
,Ebm1XKkMzaFg2L5rzLPBnFHMtpDPa6SWJ7nVUzZUmXmR,197347.60312,1.577,87.85%,94.61%,N
,BCRg6hEiLbrdgaTUbUbuz8deDcbyCgP37fCBMGqNhhq7,197296.72372,1.612,90.30%,98.05%,N
The Lode (Sentries),LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq,196880.43376,1.604,89.86%,98.56%,N
Rare Stake 0% FAT,MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM,196782.17428,2.081,78.38%,85.51%,N
StakeShip 🛳  Additional rewards,HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,196521.68151,1.567,90.06%,98.43%,N
EONpool,eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym,196484.93822,1.645,87.99%,95.88%,N
hukutu4.sol 0% FEE +MEV,CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ,196436.66610,1.922,82.39%,90.17%,N
,HVuzQEZtxQycpfJsLNAeykrqT2vLzKtUyKaAnNsnKy1A,194933.12773,1.567,90.84%,98.54%,N
,H1ScoL1TosVSRvJgARRnMs9extCdXZRWdKRqY4H7k3ik,193661.22039,1.676,89.39%,97.40%,N
"Trillium: Stake, Earn, and Fuel Solana!",tri1cHBy47fPyhCvrCf6FnR7Mz6XdSoSBah2FsZVQeT,192576.42426,1.523,86.75%,98.64%,N
,b3d74rXdGgdw9XeqRWgAnm7bsZgg9mf5J5hjZMqKxRD,192429.58890,1.585,90.72%,98.39%,N
Meyerbro +MEV,5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,191543.44829,1.528,90.37%,97.74%,N
HanoiHilton,CqSMzh8DWZeqYVa5M1V1rHU825T19NCjYipM3pkdHncm,191027.10595,1.574,89.92%,97.52%,N
SolBrothers,GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT,190735.46736,1.416,93.65%,99.68%,N
Spread Networks,HjQugFHAUm7XbaZhmjnGioNUccdMUnFmwFTJgepm5q3n,190687.58352,2.210,73.54%,89.49%,N
JStaking: 0% fee · top returns,DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao,189596.01402,2.231,72.15%,85.62%,N
AD 0% fee + ALL MEV profit share ✨,3zxkHtntSzfW2rukRFqhN9SDPzqicvF6WwN6yDwdSvxQ,188894.97329,1.882,84.54%,91.90%,N
StakeSquid,27MtjMSAQ2BGkXNuJEJkxFyCJT8dugGAaHJ9T7Gc6x4x,188155.98859,1.687,86.76%,96.10%,N
GrandpaStake,6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m,186719.43206,1.479,91.95%,99.64%,N
STEALTH,8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P,185442.70839,1.414,93.57%,99.74%,N
Marco Polo 0% Fee +MEV,EUiPhYZ8NoWX5ZzDh2cRR1fAS4su9jjV3YE7veyactzd,183656.56138,1.629,88.62%,98.72%,N
MARVEL+MEV!,i6PZjkPHGYmPfPE8LsJuLn5huZyusXhmysiDiHGPjxb,182765.98204,1.449,92.88%,98.79%,N
,9jVU1ET9Xxqnrsqjw8FGxmHgcXs6Hbj1HECckWqn2LUD,181610.42411,1.918,84.00%,93.86%,N
,EBVj3uwSKZpqEb1K267JaPxDQhULVqCy6hYeQqjsPh81,180952.13583,1.339,91.81%,95.92%,N
nodtech,H9p8zGs56CnL4b7RrbwQ6htc6V4K8PUtKvqH2m7hYAtL,180560.19551,1.942,84.93%,92.68%,N
H2O Nodes,FCvNkHa4U3yh7AXWGGL2jWLWiSRouR8EtzY5WVTHKTHa,180319.08645,1.342,95.19%,99.52%,N
Solar Station,GiXx1mwSR44Tz96CaDqoadzAhZgZv7e3yZshqUwiEwwh,179801.96820,1.593,91.62%,99.07%,N
4BLOCK 0% Fee + All MEV + Bonus profit share,6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ,179400.50195,2.204,73.37%,87.77%,N
,AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK,178630.87158,2.152,83.50%,92.70%,N
,G8hvpQDLe7hGgYtWYt4TJJEbGbgLFCBJYiMi9pMD9Kk2,178519.99304,1.235,95.50%,98.66%,N
ElagabalX 🔥 Zero Fees + MEV Boost🔥,8gJCfKzr55gM6DtAaFqoWjBGAmsJ71mpHem6qJAASBU4,177640.63138,1.609,88.10%,98.04%,N
Rei Ayanami,AWmcz3z2p3NRhB1A47MxjGx1VXGHAyM9Kvf9qD5ogzkP,177153.29480,1.626,92.03%,98.72%,N
r3Dub,EsEtxoyhFTgfvudcy2VwwQJ1qA6BScLUW39PKpYczuxF,176433.93496,1.798,84.51%,91.98%,N
Piranha,1eufsJbqNgMProke17FLSw7JrD97fYhGggrnH9zyWnG,176023.48508,1.804,83.68%,96.58%,N
Viking: Top-Ranking Validator with Additional Rewards | Stake with Us,8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh,175581.63267,1.462,92.48%,99.80%,N
1Dad 🚀 0% Fee + MEV,1Dadio3JRvpEjY6iSmXmhbGy9RiU8Nxh2GmoVbNusbE,175131.07315,1.949,80.90%,91.13%,N
Blockscope.net,7wqiBhRVEkbV3A8LbR9W1eNb5s27CBwoRCVro1okB6ew,174010.87790,1.629,88.40%,98.33%,N
Legiojuve,8ge8UzG9FyW4NDZ6zzZiUypnbcNQ3nUfTBKndxsmWqSB,173572.05691,1.867,89.31%,97.44%,N
Stand With Ukraine,2ZiMfQaT59j86HVWCvspuMtBotnVBeTc3BKk3kKpwgKP,173120.03797,1.562,90.12%,99.51%,N
Perfect Stake 🥩,83c5NZebvsUQsL3e9xb37nHiYchLCudDYtQ5Z3gLnLxv,171686.25137,1.462,93.81%,98.99%,N
LunaNova,LunaFpQkZsZVJL2P2BUqNDJqyVYqrw9buQnjQtMLXdK,170196.25694,1.528,91.58%,98.25%,N
rossi-mainnet,GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9,169372.90875,1.747,86.35%,93.66%,N
Terra,Ac8zL56RqrEwZcJa2HL7ZVCBW8py1ehVYj5qmfJXcdFQ,169198.30403,1.635,89.75%,99.19%,N
☀️ SolaraZ ☀️ +MEV,A2MtELFxn9wAiUrobrZ6vsypQtGHdH3ZesEnvAogvuFZ,169162.50595,2.156,74.94%,90.68%,N
Accountant Validator,G3zgPda4Pr8hspBGYbVQmvQBqpep4zU9ngf9qbP71XMn,168830.76384,1.685,85.94%,99.45%,N
Solstice,Ck2rHWiP22YzrMgwVSe9ngyRW81JXLRot2CUo1Bf5RFh,168768.43606,1.726,84.98%,98.81%,N
Antzfund.com,BHZCk3XnebkC7QKk6az18LBPrqgrL6HRp8bUKX9Mg46v,168167.21221,1.631,91.19%,98.17%,N
SOLGirl + MEV,4tuMshQNpAFpy1YtEHnSsE5EPN1mAT8FevWvn2UPJHNM,168089.14075,2.094,76.27%,84.86%,N
CryptoVik,Fhks5gukimP6vxKYbRY4V1aw888EgHhpdDSscD9V6bub,166784.47206,1.604,89.18%,97.30%,N
,FGRz29GorTc2T6MARp1XF9ZMJzVVNfdfNS4rHUXJPgVa,166725.93411,1.358,94.63%,99.94%,N
Freewheeling,C9YVc5dBPRbmyi8tPJKnrBuVwXeULby1eGXWvUVv866a,166170.42441,1.491,91.71%,99.76%,N
Gersia,GZgVV7MMweKm11hh8z8Nui9kRo3VxUVr2qgmkDdtJesa,165804.47445,1.464,94.48%,99.53%,N
Artemida (@Dazedrez) 0% fee,3NXnw51gHc2rDWTCWU4eVpP1yHyKKbJa1p6JDgMkmiDa,165055.76848,2.050,80.94%,89.03%,N
Paradigm 🧿,6xwWwNVXJLGhgPfBpew7UDcSjQr73McXSRK2EhdhcL1u,164717.56881,1.762,86.48%,95.73%,N
MV 🔥0%fee+MEV🔥,FJ7sKbuXR28w4K5EChBbi9tXYfCfrdpF4EaKnRvLPzL8,164027.25590,1.392,94.21%,99.77%,N
,8oS362Q9oat7QVNKJvMm91SXJjc5vBPwW7gaEHZ9wCDd,163616.99559,1.728,91.55%,98.52%,N
Shmagr,q1phrX11VjA2XEPqsTFMYRfrTZiwUeG7HCVz3d6V5Ua,160351.39413,1.583,92.09%,98.99%,N
Sandy Validator @sandytoken,sandyGeU5cX65Hn1dqjxrtmtGFTUgCtxuYzyrghTPYB,159854.15049,1.822,84.39%,94.08%,N
🍀PADDY - 💰GOLD JITO,Dcoj98wWiKhA4iqxcSg7NtuR2miA7tZqtycMdkPo8XDw,159730.52750,1.432,92.96%,99.68%,N
johndoe,EcjtYtuxBuupjeyXNdttATwoQoNL5Ck7bmrqDCj3ALT4,159197.11883,1.569,89.76%,97.45%,N
Jade Validator,Azc2uttGtHsRLorfQzd7tsMNtfaEg7LyvVEMVtckPCNN,158627.60496,1.679,87.48%,94.70%,N
Green,6ZUCygEHeA1MRgdxZ4V6e6gcAsJz1e2uDA3e3jv1bY7M,158230.50600,1.631,88.50%,96.54%,N
Ketchup,HkqCfZFY5Hh8UDSGH6AJqtxpS6CFC2aqqFgqiDYtSPZw,158114.31556,1.580,89.87%,97.23%,N
maxfillipov,GptPXjYUBUjxpRmueH6F5JcqizvjPTRDShTJQ8Vp6uN1,157870.43504,1.726,90.21%,97.61%,N
BlueLotus 👩‍💻 0% +MEV,1234LB7uvDC23rdCQoK8C3jNwnovUNyeKxz8wC3dghJ5,155917.91655,1.693,87.40%,95.17%,N
NeverBackDown,FQ5Hc8CgnBBFT87QYt72SVVYGEk677fZHDKH1wX2TeQ5,154747.42282,1.474,91.95%,99.52%,N
fransBIG,5kYPCTLoF2y7cynJEuv5LVaTPpLoPbcxiCYKk3KKcB1C,154633.03210,1.689,87.35%,97.68%,N
Yuliya Solana Validator,8c15zdteBtxxcffHsegtppNK9eG9JPye9gL4kCppZmKr,154499.99896,1.477,91.86%,99.53%,N
stake.systems,9tedbEYypEKXAMkHcg42rn3fXY1B8hB6cdE3ZTFouXLL,154278.01156,1.600,89.52%,97.11%,N
OranG3club,AY271jdvcyo5VzBiWsMGLEjpZFFrarq8FDydJHLmYgCG,153820.09064,2.017,79.98%,91.27%,N
Nodes24.io 💎Jito 0% MEV💥,ASfKFAKz6fH4eip1jdLGt5Ym954kU9KYnwq2Csn9ogSz,153679.83795,1.570,90.13%,98.92%,N
Moonlet,GMpKrAwQ9oa4sJqEYQezLr8Z2TUAU72tXD4iMyfoJjbh,151532.91213,1.611,89.34%,96.77%,N
GlobalStake,FdGcvmbpebUwYA3vSywnagsaC3Tq3pAVmcR6VoxVcdV9,151070.66354,1.753,84.70%,96.34%,N
JokeyKitty,J6XZBDuUpuBzgcVGmY8NgHQYKbGZegoYmbpadAKo1qRw,148986.91749,1.720,87.17%,95.00%,N
DICS - Degen Infrastructure Core Services,4qvFxnUXYjBdcviCwVV7gKcGJMCENEBfS82hSLJUhyvu,146908.73876,1.468,92.82%,98.84%,N
lesya,MENFRm8PpkP2QwFV3iubwiqG6GyJ4LZQ7f9k8DUE9Xy,145806.15733,1.945,82.17%,91.56%,N
Tarot,4gGhS4PaKHsg5GWEpo4tHhMibdHMeRa5567NVubMEBiB,145409.22046,1.967,80.31%,89.81%,N
Stake City +MEV,CiTYUYPAPHdcri5yEfsmqVcs54J6j8X1QaiFLgYqMVe,144627.43740,1.879,83.90%,94.47%,N
Cybersol - Secure & Fun!,8N4nic4yCUbHf82FCJfM51XjRDhhFA6C2ghiPfZLjAkL,143985.70698,1.655,87.78%,97.92%,N
StakeService 🔥 0% + MEV,EXrWdDxFaE3Sfsbh3TV5ToGhMqu53xrmeoVdvn467jUH,143039.97796,1.633,89.32%,99.07%,N
FRA 0% Validator | No commission + Jito/MEV,7F6Q6C9sthb4DPaM3gnncwopgJmuFFTu1jYjhBUdvqhj,143034.32772,1.356,94.73%,99.83%,N
Magpie,mnde2ZW5LdekuDB9ywYsKeZvpNUqRXACnGks8d6TShC,142951.63484,2.123,78.96%,87.09%,N
,7DCb5VuNx9XFqsaEgERyb5mwwRunDNtLRudCEoqhcz6N,142934.34815,2.030,81.42%,90.74%,N
SuperteamDE x Staking Facilities | Public Goods Validator,Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS,141521.64582,1.860,83.76%,91.59%,N
algo|stake,abc1zP7ihWsgQW8z5YmfQNqMckJE5Dfx8fwUNMNVNkY,139719.68245,1.616,91.37%,97.72%,N
,7x7jzvQgZ5PHdkZKrzUy2sXgpb3YxY8XjLqrZgd6nbGy,137321.24051,2.186,72.00%,89.98%,N
,NipDoZC37aMQvv2fFq2moUyyiApQxszc7X4mvWHP2pZ,137058.29413,1.473,92.75%,99.62%,N
Astraeus,NDf9Pv6TAxTDPR6ud3djsd2Ux1WS2m2YfTw4qEmSnQH,134859.88805,1.366,94.40%,99.83%,N
,H3GhqPMwvGLdxWg3QJGjXDSkFSJCsFk3Wx9XBTdYZykc,134854.90816,1.663,87.99%,98.03%,N
North Wind,EBGfQMkRqBZ6mj2AJ1UxwKD7MbiuMGJamzKZe2UZrG6B,131395.99510,1.924,81.41%,88.03%,N
Athena,CJ1GZixWD1WzozqZMm3v9dY2xboRYZfQuuEHzawAthen,128679.72094,1.754,86.48%,94.06%,N
AutoStake ⚡️ 0% fee,D4mLBafAJjpRABT5Tyj6UhuwJ8DLRk74JzyuTMUdU9Fz,128446.99513,1.523,91.06%,97.24%,N
anvel,4aFj9VyXDrqU4TnKWnMVuPaAVTaF4GZLLKZN2iZivW29,128145.17044,1.489,92.03%,99.43%,N
Coverlet +MEV,cover89z945JotsCRGdbjakJm4rnL5XspFSPgN1mVZj,128002.94040,1.980,79.72%,89.04%,N
Phase Labs,phz34EcgWRCT9otPzRS2JtSzVHxQJk4SovqJvV1TQk8,126794.04463,1.664,86.65%,98.09%,N
StakeCraft,BDn3HiXMTym7ZQofWFxDb7ZGQX6GomQzJYKfytTAqd5g,126722.10504,1.515,92.13%,99.08%,N
StakeQuest 🌴 Gamified Staking Launching Soon,11BPTRia5mJKh9JfS6fRwL7VKQNViqrbvZ8XrEQsB5n,126216.71257,1.922,83.03%,89.72%,N
akexkuz,g4MMQmzT7182jBvyUebMvsgvNM3RVrVFFJd9tRjWXhf,123735.29706,1.706,87.21%,94.84%,N
TeeNode,G5rpFxdBqmZGg9Dm7QZwqatKa1YRPE5HDxZqohw7zbz8,123558.28114,1.622,93.60%,99.57%,N
Puerta del Sol,8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf,123250.29725,1.607,90.99%,99.08%,N
Easy 2 Stake | 0% Fees | MEV Rewards,D3DfFvmLBKkX9JJNEpJRXpM1pYTVPQ5dpPQRc9F49xk4,121285.44430,2.406,75.54%,78.95%,N
SolShield,4dmBLJcchyfucSxkVmrymmsnVpZm3rBkp7kbF7qHTTYW,120446.11044,1.672,91.32%,98.40%,N
elgreen,3ZHY9PQtp7MyznRcHRAkFYrTWinQzidYAQxNjBeyzyr9,119712.16835,1.484,92.06%,99.30%,N
Swiss validator,BXf5pMTSWJdfwaiRYpwJjkTUuUe2sdvcJx7X7UNbyGe1,119695.55982,1.433,93.00%,99.51%,N
Lantern,FACqsS19VScz8oo2YhdMg35EsAy6xsCZ9Y58eJXGv8QJ,119597.00297,1.900,85.16%,92.02%,N
k8stake.com,9BkYZz8t6u1VcE26pdRhWhYGuAwDUzXFnfGvLoZTh6Bm,119178.10434,1.839,81.70%,99.41%,N
Bandito Stake,CwSZ17woioM2bqEbaswZJYvx5pemN6t3shBcU6zqPHyG,117093.61476,1.823,82.04%,99.04%,N
bloXroute EU,bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8,116678.20771,1.741,86.80%,92.99%,N
StarPaw.wtf,9V3mbi8z9MHicFQN9n9CGEMfuX4yKaBjJNuzyTUxaWXi,116595.88654,1.799,84.11%,91.33%,N
T-STAKE Systems,H4QVPxS7napq3NEYxqLhxbKi9nJ8s56dD2EQZGsyZ3sb,115548.05431,1.409,93.47%,99.86%,N
Wanderer Staking,7kge23FTbCXc6dZxMPQfAWLnVFTgGzio5wpXUo9si2mV,115125.37281,1.423,93.35%,99.39%,N
Bukovka,B1UaJwhZ9rmB6rUwCikMCkYEPVgpGYgmmrKqfAHCZanw,114117.27012,1.724,87.12%,94.87%,N
ex1arey 💫 0% fee + MEV!,5HScvYkTWL9iojhPv26xK7GqB7oBsj9A2qHCeNRFmdyG,113953.18104,1.689,87.60%,95.53%,N
Cyberili,BohPTSY4vvjGd9ARFqDJjRaHZKP4bde7ewBq65WgRGmA,113949.26302,1.584,90.68%,98.42%,N
Maslenok,HC1NSDR9cbBeQ8V1XJ62VNceUAbjGdnCcH7f5wVFVZw3,113788.47067,1.525,91.19%,98.62%,N
,ATRFbtnsDd9ka3eZooTPixm3AjicHxod1BAhNYBMsj8K,112154.64355,2.365,81.49%,90.73%,N
,7ikNtivRm2EDHQtnheqSnxkbNvRxMgtmthEAG84V8AEf,111906.37230,1.976,78.38%,93.93%,N
Bukashka,FGj3nQTn2Lwe9KkaKnFGm4HcxLSh8B8TjpvP4CinP4iX,110278.04872,1.562,90.26%,97.82%,N
cotikon,EHhxJpoAZXSSmUBhUXUMNd29verm4WdmaHQ2eZtU7fWR,109606.48019,1.848,83.73%,93.85%,N
Arynka,HE1zd4TpbDuKzg6cqbk91XjSZELL7F33eqDinxj5hLfG,109526.90861,1.790,91.45%,98.08%,N
Schenok validator,5akpkYincAbsTBXVbf2GDCg4KatMnc8BKkXZCh7MWGPK,108188.45900,2.047,78.54%,86.25%,N
Solana State,VoTEJDVw84uZvDWcMXYgfNAVcLETHsPyPEc2nTpwZPa,107282.18314,1.559,91.62%,98.62%,N
WS4m,77hUX7gpQov27qQTBDyJKJXNwm7apatfhEdsStC3YUb8,107018.35291,2.235,83.90%,91.41%,N
Indigirka,indVHvxmQVkK4VsdHiK8kXjLDSjHfHRfP3yvZ947Gn3,106728.86759,1.795,86.05%,94.40%,N
NFS 🏆 0% fee +MEV,8vT4MgBeZQmYN44DXwHd2BLM7Z6io186nJk3FQEwy58f,106365.17119,1.553,90.35%,99.29%,N
Let's Node,HQuUQmerqwvBRFo1moWgNPpcc43EJxGUQZmgrrmqA9sA,106201.80981,1.636,88.58%,96.42%,N
xSTAKE | 0% fee,4EsJD6cpaae8rh27U9pHsfxAheCLQnze1bDvXZfpjcUv,106046.35268,1.267,96.65%,99.78%,N
JustStakeIT,5evi7HwSeD95YbvwMpA7cfz6uDFmovHXpcGYAwZbKsoz,105640.97220,1.803,85.22%,94.26%,N
Urban Node,D6HbUn4FeyZWiY5ftTAxK1TXmvCLjBoPG9nRsr8z8y5g,105480.58599,1.650,88.39%,96.15%,N
Forever,9EW9kJVj4GYqXmFcN7XzfxuUEfrB5HLm5jsBNscdBBXb,105213.83283,1.566,89.87%,99.57%,N
,CnB88pH35AjH2XUsiK5X257sVLkGUf11UDioXgJXoLuL,104968.27583,1.780,87.46%,96.14%,N
Radiants,radYEig9KGrMTMWbWRFV7LStotQbnLgPaEFHVDsudQz,104473.74601,1.660,86.77%,98.11%,N
Paragon,VotESBSkLKU8vebS6wTR2rzWWJsLc6YThYS6tebPxXq,104171.40095,2.114,73.57%,95.42%,N
AntzCapital,8ZvTbWfA7txjkNubA9jnv8CWQtwbaZSzpf7vaDDcxMr5,103622.38606,2.228,73.53%,81.52%,N
GoldmemberStake,2Aiyq2zob5ikUvmeRFz1xxoAqqDQYdvNhTTXYLCN1jGL,103193.21586,2.209,72.67%,86.76%,N
,2qsJLygBZ2XoYkRtkngH4fH4CtFmzfnjARbtMSWkZAQs,103098.42262,1.532,90.95%,99.24%,N
Hyperslot,EpRvips2doUUdxvs3Qhf4MCLqVeJEPu47Aci5QbBXASV,102671.51735,2.212,73.14%,79.55%,N
Vlaber01,2w4dcnbJDcGrAh4CFAYYpAaEJiUB2q1rFMGByBuB5Cqz,102566.13660,2.073,85.57%,93.40%,N
SoLyrae,DPhzpiNGU9C6576uLsNSHmdi2AxwxpjMsRdh2iVC4TPh,102367.21711,1.640,88.27%,95.88%,N
OBSHTech 0% Fee + MEV,2Q9mEXrNcJknsDyBjsAieH8XrL4MBePEaLJwmHr3NK3L,102279.53313,2.158,73.16%,93.97%,N
Equilibrium  ⚖️ 0% Fee+MEV,HTtwGKgQgsQCAFDPBgN7LabHTMEkUpmTnFqEo5cBcquR,101752.90523,1.546,90.83%,98.78%,N
0% Fee 🗝 SecretNode 🗝 MEV,H7CfFGvmUHWvryBKAaVibVxz85SYmWyoECx3CjLHq3zC,101652.00975,1.552,90.54%,98.60%,N
Colossus,8F1yhZvTwrFq5SqJ5PH2VLRRwULUGYHju84FjMtDbJPJ,101468.66958,2.019,79.32%,85.85%,N
Diamond Pool 💎 0% Fee + MEV,KXMGa7fRW78c6VVND6YwPbR9sEu8V3q9QL3ctLDioAT,101439.47763,1.542,90.50%,99.25%,N
ZinaFont,3M4QYXfFM64wqSpSeQZWA6PJNmR6QQtF64BLzA9SG7ZD,100314.10750,1.666,87.84%,98.12%,N
01node,BH7asDZbKkTmT3UWiNfmMVRgQEEpXoVThGPmQfgWwDhg,99241.35016,1.685,87.84%,95.60%,N
aaanonymous,BfF3vg8UFcwTkFJNgQ7KQTAZBUWegF3spPm79d71WNwo,98894.47718,1.636,89.27%,98.67%,N
Custodian 💼 0% fees +MEV!,5ni6KoVM62cRJNfFFKGdiyDfYbKWWAGZ21cfGZcj1y66,98545.39823,1.628,88.86%,98.22%,N
Capital Alliance 0% Fee,DTwEEF6VSrmTBYkDcj3BKAc52qhvP8CEQUEAMMT1cG3,98366.00451,1.743,86.02%,92.90%,N
GOOSE,H7JJ6aE73ufbUuDCZSQMxguQsj28XHe4VQyMk2hsVGoo,98145.05984,1.790,85.05%,96.04%,N
theBEST,EsELtZoep4TYcugKyMnB4ZWZYxn99V5Vb1TwexDzFey,98069.07614,1.602,90.68%,99.15%,N
Mira Validator,8mu3JHHF1Qkcrbqjo6KWxyWvTxarZjqptJTokR2jrDFo,97359.99638,1.759,85.71%,98.96%,N
Hohla,3FLezD8GJgnawEHhZcsjdPxZVar9FzqEdViusQ5ZdSwe,96063.94870,1.632,88.61%,96.59%,N
StakePistols 🔫🔫🔫 0% + MEV,ASrBTnxfvt8uY164wRrM9xXP925yoHzoRBnVYU5s7DEs,95670.71006,1.513,91.26%,98.94%,N
Andrew38,4PTVcstjs4s89uETGapnjTNPDa4XfHF9kLUu8WCeYNQb,95422.88988,1.884,84.96%,92.68%,N
,59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,94231.58202,1.367,96.08%,99.73%,N
Tahoe,TahoeLA91rRRqaWWBft1KvWLEjv87Zqe2qaDqSG69fm,93675.43698,2.675,73.08%,87.27%,N
Solidestaking,8DHFGo3fDB8GudbNLZEyExLzXQPwvY4twybPbxwDnffx,92907.37869,1.580,89.87%,97.50%,N
,7nhEnxoCtSavzxQyvmBhomaZiNRX41UNjfkAL6gurT6r,92888.99743,1.927,78.75%,94.92%,N
MasterYarik,CT2CzbiNRz8ccgWQZR4BN7cpm3rDyWyQxUf5MNbMom7n,92868.20408,1.490,91.97%,99.52%,N
Aspis 🛡 +MEV,FPjq7vB2V3TiseJJSPsp47UWSfT4AwvKjiU7GEro7bX9,91254.84490,1.612,89.21%,98.48%,N
Koinsortium ✨ 0% Fee +MEV,8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,91025.85917,1.523,91.39%,98.91%,N
